,example_index,input_prompt,predicted_text,decode_method,temperature,model,prompt_type,meaning,predicted_meaning,gt_meaning,lyrics,artist,title
0,1158,"<|startoftext|> lyrics: And in the end, you’ll have your best friend. meaning:","<|startoftext|> lyrics: And in the end, you’ll have your best friend. meaning: The narrator is saying that he’s going to be the best friend of the girl he’s with, and that he’ll be the one to make her happy. ",greedy,0.95,gpt2-medium,lyrics_meaning,," The narrator is saying that he’s going to be the best friend of the girl he’s with, and that he’ll be the one to make her happy. ",a relationship is best when you can treat each other like best friends,"And in the end, you’ll have your best friend",Christina Perri,​penguin
1,2907,"<|startoftext|> lyrics: Lovely Rita, meter maid
 Lovely Rita, meter maid. meaning:","<|startoftext|> lyrics: Lovely Rita, meter maid
 Lovely Rita, meter maid. meaning: Rita is a famous British actress and model. She is known for her roles in the films, such as The Princess Bride and The Wizard of Oz.




































































































",greedy,0.95,gpt2-medium,lyrics_meaning,," Rita is a famous British actress and model. She is known for her roles in the films, such as The Princess Bride and The Wizard of Oz.




































































































","2D interpolates the chorus of legendary English band The Beatles‘ June 1967 track “Lovely Rita.” The band has taken inspiration from The Beatles many times before, exemplified by the cover art of their May 2005 record Demon Days, which drew many comparisons to the art of The Beatles’ May 1970 record, Let It Be:



When asked “Who’s Rita?” by BBC Radio 1’s Annie Mac, the group said:

It’s a lovely name to sing… I sort of think it’s about instant gratification, it doesn’t last. And there’s lots of that around today.","Lovely Rita, meter maid
 Lovely Rita, meter maid",Gorillaz,Momentary Bliss
2,3004,"<|startoftext|> lyrics: Forget Karate Kid and these wooden blocks, I chop through concrete
 Concrete, concrete, concrete!. meaning:","<|startoftext|> lyrics: Forget Karate Kid and these wooden blocks, I chop through concrete
 Concrete, concrete, concrete!. meaning: The “concrete” is a type of concrete used in concrete walls.

















































































































",greedy,0.95,gpt2-medium,lyrics_meaning,," The “concrete” is a type of concrete used in concrete walls.

















































































































","Continuing with the martial arts movie metaphors, his prowess is on a whole other level.

Your Rhymes:



His Rhymes:","Forget Karate Kid and these wooden blocks, I chop through concrete
 Concrete, concrete, concrete!",Gorillaz,Clint Eastwood (Phi Life Cypher Version)
3,4004,"<|startoftext|> lyrics: She said, “’Cause He made you perfect, babe”. meaning:","<|startoftext|> lyrics: She said, “’Cause He made you perfect, babe”. meaning: This line is a reference to the song “Perfect” by The Beatles.

















































































































",greedy,0.95,gpt2-medium,lyrics_meaning,," This line is a reference to the song “Perfect” by The Beatles.

















































































































",“Cause he made you perfect” is a direct reference to God and the perception that he made everybody in his image. It emphasizes the fact that everyone is perfect in their own way.,"She said, “’Cause He made you perfect, babe”",Lady Gaga,Born This Way
4,6608,"<|startoftext|> lyrics: All in all, you’re just another brick in the wall. meaning:","<|startoftext|> lyrics: All in all, you’re just another brick in the wall. meaning: The brick in the wall is the person who is trying to break the relationship. ",greedy,0.95,gpt2-medium,lyrics_meaning,, The brick in the wall is the person who is trying to break the relationship. ,"As represented by the children in large cubicles, and later faceless masks, they became an amorphous, indistinguishable mass, akin to a brick wall.



This can also be taken as a sort of dismissal of the teacher’s authority – “you are no better than me or anyone else. You are using your age and position of power to take advantage of me” (and the previous song shows that in their homes, the teacher would’ve been subdued by their wives).  In Pink’s point of view, the teacher’s abuse is another brick  that helped him build the Wall that separated him from everyone else (“you are another mental scar that will effect how I am and how I treat others in the future”).","All in all, you’re just another brick in the wall",Pink Floyd,"Another Brick in the Wall, Pt. 2"
5,8000,"<|startoftext|> lyrics: I ask the traffic lights if it’ll be alright
 They say, “I don’t know”. meaning:","<|startoftext|> lyrics: I ask the traffic lights if it’ll be alright
 They say, “I don’t know”. meaning: The traffic lights are a common symbol of the city, and are often used to signal the start of a street.











































































































",greedy,0.95,gpt2-medium,lyrics_meaning,," The traffic lights are a common symbol of the city, and are often used to signal the start of a street.











































































































","In a tumblr post, Taylor explained the meaning behind this peculiar phrase:

[it’s] like how when you’re struggling through something time slows down and everything is a sign and you’ll take advice from a tree because you’re just GOIN THROUGH IT MAN.

She mentioned that she enjoys the memes fans have created for the line.



It also links back to “Cornelia Street,” the previous song, in which Swift sings:

As if the street lights pointed in an arrow head
Leading us home

If the relationship ends, not only will she never walk Cornelia Street again, but she will also be lost without the traffic lights to guide her.

Asking the traffic lights shows her desperation and lack of direction because it implies that she is so desperate for a sign, that she is willing to look anywhere.","I ask the traffic lights if it’ll be alright
 They say, “I don’t know”",Taylor Swift,Death by a Thousand Cuts
6,8009,"<|startoftext|> lyrics: And if this is the long haul
 How’d we get here so soon?. meaning:","<|startoftext|> lyrics: And if this is the long haul
 How’d we get here so soon?. meaning: The narrator is asking how long they’ll be able to get to the destination. ",greedy,0.95,gpt2-medium,lyrics_meaning,, The narrator is asking how long they’ll be able to get to the destination. ,"The reference to ‘the long haul’ suggests that they assumed their relationship would be forever, and the narrator seems confused, asking ‘how’d we get here so soon?’ The ‘here’ she refers to could be the here on the verge of their break up, or just the part in their relationship where she feels alone","And if this is the long haul
 How’d we get here so soon?",Taylor Swift,​coney island
7,10003,"<|startoftext|> lyrics: I know that you’re hesitating because even if you say the truth
 In the end it will all return as scars. meaning:","<|startoftext|> lyrics: I know that you’re hesitating because even if you say the truth
 In the end it will all return as scars. meaning: The narrator is unsure of his own feelings, and is hesitating to tell the truth. He knows that he’s not the one who is hurting, but he’s unsure of how to feel about it. ",greedy,0.95,gpt2-medium,lyrics_meaning,," The narrator is unsure of his own feelings, and is hesitating to tell the truth. He knows that he’s not the one who is hurting, but he’s unsure of how to feel about it. ",Because there is no point in saying the truth cause even bitter truth will scar your soul as u r saying it and it will scar the person and ur relationship as well,"I know that you’re hesitating because even if you say the truth
 In the end it will all return as scars",Genius English Translations,BTS - Magic Shop (English Translation)
8,11008,<|startoftext|> lyrics: [Interlude]. meaning:,"<|startoftext|> lyrics: [Interlude]. meaning: The interlude is a short intro to the song. It is sung by the band, and is played by the drummer. The intro is played in a very slow tempo, and the drums are played in a very fast tempo. The drums are played in a very low key, and the bass is played in a very high key. The drums are played in a very low key, and the bass is played in a very high key. The drums are played in a very low key, and the bass is played in a very high key. The drums are played in a very low key, and the bass is played in a very high key. The",greedy,0.95,gpt2-medium,lyrics_meaning,," The interlude is a short intro to the song. It is sung by the band, and is played by the drummer. The intro is played in a very slow tempo, and the drums are played in a very fast tempo. The drums are played in a very low key, and the bass is played in a very high key. The drums are played in a very low key, and the bass is played in a very high key. The drums are played in a very low key, and the bass is played in a very high key. The drums are played in a very low key, and the bass is played in a very high key. The","The audio clip here is taken from a fight on June 27, 2016 before a concert due to a failed collaboration with rapper @Not_Linden. X then went to his show and “sucker punched” him, to which they continued to fight outside, with X winning in the end.

https://twitter.com/Not_Linden/status/747986526110425088",[Interlude],XXXTENTACION,YuNg BrAtZ
9,12005,"<|startoftext|> lyrics: Well, he seemed broken hearted
 Somethin’ within him. meaning:","<|startoftext|> lyrics: Well, he seemed broken hearted
 Somethin’ within him. meaning: The narrator is describing a broken hearted man, who is in a state of depression. He is in a state of depression because he is in a relationship with someone who is not his true love. ",greedy,0.95,gpt2-medium,lyrics_meaning,," The narrator is describing a broken hearted man, who is in a state of depression. He is in a state of depression because he is in a relationship with someone who is not his true love. ","Nicks told Billboard that this lyric was inspired by Tom Petty:

‘Edge of Seventeen’ is also a little bit about Tom. ‘He seemed broken hearted/Somethin’ within him,‘ that was [his wife] Jane talking about Tom. I bet a lot of people thought I was talking about me, but I was chronicling their relationship as she told it to me.

She also explained how Jane inspired the song’s title:

I asked Tom’s wife, Jane, when she met him. She said, ‘I met him at some point during the age of 17.’ But I thought she said, ‘The edge of 17.’ I said, ‘Jane, can I use that? Can I write a song called “Edge of Seventeen”?’","Well, he seemed broken hearted
 Somethin’ within him",Stevie Nicks,Edge of Seventeen
